date,close,volume,open,high,low
2/11/2016,503.82,7390411,491.17,509.3,484
2/10/2016,490.48,6763135,491.76,504.66,486
2/9/2016,482.07,7055921,478.01,498.38,474
2/8/2016,488.1,9816331,486.47,493.5,475.21
2/5/2016,502.13,9683685,529.28,529.45,499.19
2/4/2016,536.26,6190328,525,538.99,519.2201
2/3/2016,531.07,10043300,553.5,556,521.9
2/2/2016,552.1,6297634,570,571.56,550.09
2/1/2016,574.81,6337926,578.15,581.8,570.31
1/29/2016,587,14666690,571.98,593,570
1/28/2016,635.35,13639700,608.37,638.06,597.55
1/27/2016,583.35,5103760,601.99,603.39,578.78
1/26/2016,601.25,3755042,603.45,604.5,590.38
1/25/2016,596.53,4386098,597.99,608.5,594.56
1/22/2016,596.38,5104594,588.73,600.1,584.1079
1/21/2016,575.02,4937346,573.58,588.81,568.22
1/20/2016,571.77,7957643,564.36,578.45,547.18
1/19/2016,574.48,4801408,577.09,584,566.45
1/15/2016,570.18,7776868,572.24,584.62,565.3
1/14/2016,593,7225454,580.25,602.25,569.88
1/13/2016,581.81,7643288,620.88,620.88,579.16
1/12/2016,617.89,4705651,625.25,625.99,612.2415
1/11/2016,617.74,4874135,612.48,619.85,598.57
1/8/2016,607.05,5502757,619.66,624.14,606
1/7/2016,607.94,7040886,621.8,630,605.21
1/6/2016,632.65,5319526,622,639.79,620.31
1/5/2016,633.79,5814063,646.86,646.91,627.65
1/4/2016,636.99,9301459,656.29,657.715,627.51
12/31/2015,675.89,3745197,686.08,687.75,675.89
12/30/2015,689.07,3515318,691.89,695.49,686.375
12/29/2015,693.97,5729914,677.98,696.44,677.8893
12/28/2015,675.2,3778019,665.56,675.5,665.5
12/24/2015,662.79,1092970,663.35,664.68,660.6
12/23/2015,663.7,2717739,666.5,666.597,656.63
12/22/2015,663.15,2666245,666.83,668.49,659.26
12/21/2015,664.51,3219507,668.5,669.9,658.93
12/18/2015,664.14,6817065,668.65,676.84,664.13
12/17/2015,670.65,3672133,680,682.5,670.65
12/16/2015,675.77,3955385,663.56,677.35,659.32
12/15/2015,658.64,4743133,665.03,671.5,657.35
12/14/2015,657.91,4340805,641.75,658.585,635.27
12/11/2015,640.15,5459737,651.23,657.88,639.62
12/10/2015,662.32,3446523,665.59,668.526,659.56
12/9/2015,664.79,5150488,678,679,655.68
12/8/2015,677.33,3646397,663.13,679.99,659.79
12/7/2015,669.83,3730440,674.74,675.46,660.5
12/4/2015,672.64,4532424,666,674.775,661.4
12/3/2015,666.25,5058428,679.44,682.79,661.48
12/2/2015,676.01,4265404,681,684.82,674.25
12/1/2015,679.06,4747651,673.75,681,667.86
11/30/2015,664.8,5492054,675.9,681.29,664.6
11/27/2015,673.26,1966801,680.8,680.99,672.1
11/25/2015,675.34,2690424,675,679.7,671.24
11/24/2015,671.15,4536359,674.14,675.8,661.2125
11/23/2015,678.99,4377862,671.5,682.77,668.45
11/20/2015,668.45,3872690,667.94,668.87,657.57
11/19/2015,661.27,4702856,664.99,672.86,659
11/18/2015,663.54,4414554,646.51,664.88,646.37
11/17/2015,643.3,4317848,650.65,653.25,641
11/16/2015,647.81,7425083,640.92,649.99,622.29
11/13/2015,642.35,6242100,663.57,667,640.45
11/12/2015,665.6,4267454,673,675.64,664.22
11/11/2015,673.25,5378403,663.25,675.96,663.25
11/10/2015,659.68,3478282,651.01,660,647.262
11/9/2015,655.49,4042991,658.65,661.955,647.8477
11/6/2015,659.37,4088119,655,662.26,652
11/5/2015,655.65,4721977,647.1,657,643.0901
11/4/2015,640.95,4836452,627.76,645.93,627.35
11/3/2015,625.31,3244640,629.53,629.89,622
11/2/2015,628.35,2811340,627.13,628.63,620.41
10/30/2015,625.9,3871136,626.01,630.72,625.28
10/29/2015,626.55,3861249,617.7,627.54,615.39
10/28/2015,617.1,3916263,612.3,617.23,609.5
10/27/2015,611.01,3740923,608.6,614.71,605.53
10/26/2015,608.61,4266364,602.3,609.85,596.29
10/23/2015,599.03,10682230,617.68,619.45,595.36
10/22/2015,563.91,7586947,562.7,569.146,556.67
10/21/2015,555.77,3354070,563.87,565.25,552.52
10/20/2015,560.88,4341325,572,573,555.28
10/19/2015,573.15,4342881,570.76,579,567.38
10/16/2015,570.76,4307995,565.27,570.94,560.31
10/15/2015,562.44,4927031,547.75,563,547
10/14/2015,544.83,3573734,551.34,552.25,539.68
10/13/2015,548.9,2933013,546.26,553.2,543.1
10/12/2015,550.19,2772781,539.96,550.82,539.8
10/9/2015,539.8,3533043,534.48,541.79,530.27
10/8/2015,533.16,4666489,536.71,539.386,519.89
10/7/2015,541.94,3807102,541.79,542,529
10/6/2015,537.48,4541673,545.5,551.5,533.33
10/5/2015,543.68,3383967,536.99,545.91,536
10/2/2015,532.54,4592095,512.99,532.6,508.1
10/1/2015,520.72,3744188,511,520.8,506
